Reviewer Name,Verification Status,Review Date,Review Content,Star Rating,Product Details,Number of Likes,Image URLs
wassy,Verified Purchase,3 weeks ago,choti bht hn..aur gari pr masjid bani hai zra khayal ni hai k bchon ny khelny hai aur masjid bna di bht ghalt bat hai,5,Color Family:Multicolor,5,
fsv7ck7jq9,Verified Purchase,4 weeks ago,"Material:  Acha ha material 
 Detailing:  size bohat chota ha price k hisab se bohat mehngi ha Ak car ka weel be sae nhi ha and rider baki peise be nhi da k gya k mery pas khule nhi hen ❣️",5,Color Family:Multicolor,5,
c***.,Verified Purchase,01 Jan 2025,same to same mili h car jesy pic main dikhaya geya 👍 paking  bhi achi  thi safli recive.my son is very happy.choti h car par thik h ok👌thank you seller 👍 thank you daraz ♥️,5,Color Family:Multicolor,3,
Ph P.,Verified Purchase,01 Jan 2025,"Detailing:excellent
 Material:excellent 
 Realism:excellent 
The quality is the same as shown in the store, main Yahan se he ab toys order krn ga bachon k Liye, thank you",5,Color Family:Multicolor,2,
Waqas B.,Verified Purchase,24 Nov 2024,"Material:Good 😊 

 Realism:Good
Chote se cars hai pyari se hai bachon Ke lye.
and Seller was good person 💯 
Thanks 👌🏻",5,Color Family:Multicolor,8,
ibraheem,Verified Purchase,22 Nov 2024,"Material:half plastic half metal
 Realism:ssme as advertised size is tooo small
but best for kids... pull back he i like it",5,Color Family:Multicolor,5,"https://lzd-u.slatic.net/fd04e5169d554157bf5248377755ea45_650fd233a24f43569426cb17f1a397ea.jpg, https://lzd-u.slatic.net/fd04e5169d554157bf5248377755ea45_9295ea79851740e48f06d44b7f8f7dd7.jpg, https://lzd-u.slatic.net/fd04e5169d554157bf5248377755ea45_545306cacba945b3b9e7a395e1ce2702.jpg, https://lzd-u.slatic.net/fd04e5169d554157bf5248377755ea45_d8f9327c75bc4e99b0a57e14779bd832.jpg"
Abdullah,Verified Purchase,16 Nov 2024,"Detailing:Good
 Material:Steel & Plastic
 Realism:Good

Delivery Was Fast & Seller Is A Humble And Honest Man, Exact Product Like Shown In Picture. Fully Recommended. 
Jazakallah",5,Color Family:Multicolor,2,https://lzd-u.slatic.net/e8bcf2b0b1e44b57bc421ba1132de2d1_4eb376388bdd45aa9437cd7f1c91f6ea.jpg
Hamza C.,Verified Purchase,07 Nov 2024,"Awesome Car but Half Metal And Half Plastic 
Dealer is very good person ❣️
size very small according to Amount 

I like this ❤️❤️",5,Color Family:Multicolor,3,
M***a,Verified Purchase,08 Dec 2024,low qwalti hy jo material lekha howa hy metal deicast wo bilkul nhi hy jhot hy,5,Color Family:Multicolor,4,"https://lzd-u.slatic.net/f11a1f425d044bb7beaa2040494d24c4_e92dfc9b8b804dc6b49e09661fdec954.jpg, https://lzd-u.slatic.net/f11a1f425d044bb7beaa2040494d24c4_022b692fd1934c4cbad4e3e9c9340ae7.jpg"
Sobia A.,Verified Purchase,3 weeks ago,i am no satisfied picture ma Kuch Ur dhekya gya h bheja Kuch Ur h dhoka h ye,5,Color Family:Multicolor,1,https://lzd-u.slatic.net/04c131c3a56f431a903b4dc9a23530de_5f9defc766f7436abf6236d0936f8d19.jpg
guest,Verified Purchase,01 Jan 2025,asa sar mara parcel Mil Gaya hai thank you bohat piyara hai mashallah 🥰🥰,5,Color Family:Multicolor,1,"https://lzd-u.slatic.net/eef35c03458e455da5ba855431189a7a_8b428e5ec11e499bba238a2cf0294cbb.jpg, https://lzd-u.slatic.net/eef35c03458e455da5ba855431189a7a_2c67a7b3de1c42e4b8b7e2764c6d3555.jpg"
Ahmed M.,Verified Purchase,2 weeks ago,"best quality 
low price 
best service 
great communication skills",5,Color Family:Multicolor,0,"https://lzd-u.slatic.net/f9ed609fc77144c5b4790151e09247a2_07601f3f3eb243cdad0cd8d8cfd4b848.jpg, https://lzd-u.slatic.net/46078394572e4b05a7ef6e2b9003df22_abe354526e5042ff8b9cf6a81ea35b13.jpg"
shahid756rehman,Verified Purchase,23 Nov 2024,"I have recieved my order
product is very beautiful same as orderd",5,Color Family:Multicolor,0,
Syed M.,Verified Purchase,21 Nov 2024,"Quality of metal is good.
nice cars.
every one should buy this.",5,Color Family:Multicolor,0,https://lzd-u.slatic.net/5b2c05f83b00491bbe04e435b14c6a04_aa90554a37644a2ba9e6ce856213760c.jpg
3***9,Verified Purchase,4 weeks ago,3 گاڑیاں ٹھیک ہیں ایک چھوٹی ہے کیوں بھائی دو نمبری کرتے ہو,5,Color Family:Multicolor,0,"https://lzd-u.slatic.net/1ccc0bfba61f425a8817101b81ce20e0_a3c1f3c677a344b790520e58774996ff.jpg, https://lzd-u.slatic.net/1ccc0bfba61f425a8817101b81ce20e0_3e1de433c7e44b6b8ce2a494e0e486b5.jpg"
3***1,Verified Purchase,07 Jan 2025,"beautiful ❤️ my son like it very much 
thank you 😊",5,Color Family:Multicolor,0,https://lzd-u.slatic.net/b4145e3d85254bb18f7b28a689970a93_b90bfdcf8f7c4753b084f31049d53046.jpg
HASEEB A.,Verified Purchase,21 Nov 2024,"durable and excellent 
Great in this price tag",5,Color Family:Multicolor,0,https://lzd-u.slatic.net/af773a1194a8494da2726594fc16761a_9dcb82f812fc4c96acc0573ca82a5a93.jpg
Safia G.,Verified Purchase,06 Nov 2024,this is the best cars ever i really like it !,5,Color Family:Multicolor,2,
Sobia,Verified Purchase,06 Dec 2024,"not satisfied, received different 🙄",5,Color Family:Multicolor,0,https://lzd-u.slatic.net/f323b9b036be492ab6035b67c67f8454_b30232f7946d4915b119124dff85da6f.jpg
3***8,Verified Purchase,4 weeks ago,I received my parcel it's a good,5,Color Family:Multicolor,0,https://lzd-u.slatic.net/4e108865b14e41c18261ab676857340f_2b96c13d07e149d7a49bde44989051e6.jpg
A***.,Verified Purchase,13 Nov 2024,paison k hosab se achi hen,5,Color Family:Multicolor,2,https://lzd-u.slatic.net/6671a470438b4770b55db3447daae1f4_edb64aea822e4bf59b7099252fbcefdd.jpg
C***.,Verified Purchase,21 Nov 2024,Bohat achi hain 🥰🥰🥰🥰,5,Color Family:Multicolor,1,
wahabalmass7,Verified Purchase,24 Dec 2024,quality is average,5,Color Family:Multicolor,1,https://lzd-u.slatic.net/90fca8c77c18440d99645088b10cea32_91fcd239631343d6b18e4fc338fc52e0.jpg
0***6,Verified Purchase,21 Nov 2024,nice good quality,5,Color Family:Multicolor,2,https://lzd-u.slatic.net/973c5da1e1f14a469a3c3278a264f6de_bce38251af3f49ffa9ccad3842adf8ed.jpg
adab H.,Verified Purchase,04 Dec 2024,good quality 👍,5,Color Family:Multicolor,1,https://lzd-u.slatic.net/19bde168918b4702a5860e9c9336099a_cd7d709c197d4847894c0a6c1a84ee08.jpg
A***.,Verified Purchase,02 Dec 2024,"car plastic ki Hain 
par picking achi Hai aur car chalti bhi sahi ha rezbal price ha pyso k hisab bas thek ha",5,Color Family:Multicolor,1,
Kirran N.,Verified Purchase,05 Dec 2024,It's not the same cars as shown in the picture. but the quality of the cars was really good 🎀,5,Color Family:Multicolor,1,
A***.,Verified Purchase,08 Jan 2025,nice car material bh acha h bs size thora or bara hona chahiye otherwise gud product😊,5,Color Family:Multicolor,1,
Noureen V.,Verified Purchase,14 Nov 2024,Thank you so much … best quality … will definitely shop again ☺️ God bless you,5,Color Family:Multicolor,1,
samkayani756,Verified Purchase,1 week ago,I am very happy because  Jesa  ma na picture ma dakha tha wasi hi gari ayi,5,Color Family:Multicolor,0,
3***8,Verified Purchase,04 Dec 2024,didnt get what i order its plastic cars and its not diecast theme,5,Color Family:Multicolor,1,https://lzd-u.slatic.net/3dea7acfebee461d9599d5f06915f864_44c49c232f024dd59860ad0a497060f6.jpg
Ahsan K.,Verified Purchase,11 Jan 2025,picture is of McQueen series while delivered cars are different,5,Color Family:Multicolor,1,
Mubashir H.,Verified Purchase,11 Jan 2025,product is totally different from you showed in a website,5,Color Family:Multicolor,0,
Sara S.,Verified Purchase,4 days ago,MashAllah zabardast very nice quality highly recommend 👍,5,Color Family:Multicolor,0,
aymarofi,Verified Purchase,03 Dec 2024,zabardat quality ki hai metal ki hai bhat achi hayn 🥰,5,Color Family:Multicolor,0,
Muhammad F.,Verified Purchase,08 Jan 2025,boht achi hai ye mere baccho ko boht pessend I hai ☺,5,Color Family:Multicolor,0,
3***0,Verified Purchase,1 week ago,"overpriced small cars, price should be around 200.",5,Color Family:Multicolor,0,
arshadrocky1989,Verified Purchase,27 Dec 2024,the quality is good enough as per price range .,5,Color Family:Multicolor,0,
arshmanm198,Verified Purchase,2 weeks ago,size very small but quality owsome I like it,5,Color Family:Multicolor,0,
asifiqraasif718,Verified Purchase,3 weeks ago,Material:is good Lekin Kam thi 6 honi chahye,5,Color Family:Multicolor,0,
adnan A.,Verified Purchase,3 weeks ago,"Material:not the same as shown
 Realism:nil",5,Color Family:Multicolor,0,
3***3,Verified Purchase,08 Jan 2025,very bad experience not what I orderd baka,5,Color Family:Multicolor,0,
farhanfaisal6564,Verified Purchase,29 Nov 2024,nice design colorful cars thanks daraz,5,Color Family:Multicolor,0,
K***.,Verified Purchase,13 Nov 2024,Realism:owsome quality my son love it,5,Color Family:Multicolor,0,
3***7,Verified Purchase,11 Jan 2025,good bhut achi hen price k hisab se,5,رنگ:متعدد رنگ,0,
kami K.,Verified Purchase,2 weeks ago,very nice toys. good quality 💯,5,Color Family:Multicolor,0,
Usman A.,Verified Purchase,16 Nov 2024,"Detailing:  4/5
 Material:  5/5",5,Color Family:Multicolor,1,
3***3,Verified Purchase,3 weeks ago,"quality is good 👍 
 i like it",5,Color Family:Multicolor,0,
********74,Verified Purchase,12 Jan 2025,Quality and Material is good,5,Color Family:Multicolor,0,
zeeshan12moon,Verified Purchase,01 Dec 2024,size of cars is very small,5,Color Family:Multicolor,0,
